,Blue,Red,LogID,GameMode,Map
0,@MST,Worse Comp Format,3662782,PL,pl_swiftwater_final1
1,FroggieLand,The Duddy Dudes,3662777,PL,pl_swiftwater_final1
2,Dreamybull's Kitchen,somebody help,3662759,PL,pl_swiftwater_final1
3,FroggieLand,The Duddy Dudes,3662757,PL,pl_swiftwater_final1
4,Impostors,The Hardworking Hornets,3662748,PL,pl_swiftwater_final1
5,Run It Back,Ohio Leif Village,3662745,PL,pl_swiftwater_final1
6,Worse Comp Format,@MST,3662721,PL,pl_swiftwater_final1
7,The Hardworking Hornets,Impostors,3662705,PL,pl_swiftwater_final1
8,The Duddy Dudes,FroggieLand,3662694,PL,pl_swiftwater_final1
9,Ohio Leif Village,Run It Back,3662685,PL,pl_swiftwater_final1
10,somebody help,Dreamybull's Kitchen,3662684,PL,pl_swiftwater_final1
11,@MST,Worse Comp Format,3662675,PL,pl_swiftwater_final1
12,Dreamybull's Kitchen,Run It Back,3662656,PL,pl_swiftwater_final1
13,Dreamybull's Kitchen,Run It Back,3662650,PL,pl_swiftwater_final1
14,FroggieLand,The Hardworking Hornets,3662640,PL,pl_swiftwater_final1
15,Ohio Leif Village,The Duddy Dudes,3662628,PL,pl_swiftwater_final1
16,Worse Comp Format,Unknown,3662625,PL,pl_swiftwater_final1
17,@MST,somebody help,3662623,PL,pl_swiftwater_final1
18,Unknown,Impostors,3662614,PL,pl_swiftwater_final1
19,Run It Back,Dreamybull's Kitchen,3662607,PL,pl_swiftwater_final1
20,The Duddy Dudes,Ohio Leif Village,3662599,PL,pl_swiftwater_final1
21,The Hardworking Hornets,FroggieLand,3662590,PL,pl_swiftwater_final1
22,somebody help,@MST,3662587,PL,pl_swiftwater_final1
23,Dreamybull's Kitchen,Run It Back,3662582,PL,pl_swiftwater_final1
24,Impostors,Unknown,3662580,PL,pl_swiftwater_final1
25,Ohio Leif Village,Unknown,3662182,PL,pl_swiftwater_final1
26,@MST,Unknown,3662180,PL,pl_swiftwater_final1
27,FroggieLand,somebody help,3662172,PL,pl_swiftwater_final1
28,@MST,Unknown,3662166,PL,pl_swiftwater_final1
29,The Hardworking Hornets,Unknown,3662161,PL,pl_swiftwater_final1
