,TeamName,LogID,TeamColor,GameMode,Map
0,The Duddy Dudes,3661406,Red,PL,pl_swiftwater_final1
1,The Duddy Dudes,3666890,Red,KOTH,koth_ashville_final
2,The Duddy Dudes,3666874,Red,KOTH,koth_ashville_final
3,The Duddy Dudes,3666845,Red,KOTH,koth_ashville_final
4,The Duddy Dudes,3671142,Red,PL,pl_upward_f12
5,The Duddy Dudes,3671072,Blue,PL,pl_upward_f12
6,The Duddy Dudes,3671034,Red,PL,pl_upward_f12
7,The Duddy Dudes,3670999,Blue,PL,pl_upward_f12
8,The Duddy Dudes,3662777,Red,PL,pl_swiftwater_final1
9,The Duddy Dudes,3662757,Red,PL,pl_swiftwater_final1
10,The Duddy Dudes,3662694,Blue,PL,pl_swiftwater_final1
11,The Duddy Dudes,3662628,Red,PL,pl_swiftwater_final1
12,The Duddy Dudes,3662599,Blue,PL,pl_swiftwater_final1
13,The Duddy Dudes,3658569,Blue,KOTH,koth_product_final
14,The Duddy Dudes,3658541,Blue,KOTH,koth_product_final
15,The Duddy Dudes,3658498,Blue,KOTH,koth_product_final
16,The Duddy Dudes,3658459,Blue,KOTH,koth_product_final
17,The Duddy Dudes,3658421,Blue,KOTH,koth_product_final
18,The Duddy Dudes,3657813,Blue,KOTH,koth_product_final
19,The Duddy Dudes,3657776,Blue,KOTH,koth_product_final
20,The Duddy Dudes,3657214,Blue,KOTH,koth_product_final
21,The Duddy Dudes,3657178,Blue,KOTH,koth_product_final
22,The Duddy Dudes,3670469,Blue,PL,pl_upward_f11
23,The Duddy Dudes,3670426,Red,PL,pl_upward_f11
24,The Duddy Dudes,3670380,Blue,PL,pl_upward_f11
25,The Duddy Dudes,3648463,Red,PL,pl_upward_f11
26,The Duddy Dudes,3648449,Blue,PL,pl_upward_f11
27,The Duddy Dudes,3648422,Blue,KOTH,koth_ashville_final
28,The Duddy Dudes,3665563,Blue,KOTH,koth_ashville_final
29,The Duddy Dudes,3665536,Blue,KOTH,koth_ashville_final
30,The Duddy Dudes,3665492,Blue,KOTH,koth_ashville_final1
31,The Duddy Dudes,3665467,Blue,KOTH,koth_ashville_final1
32,The Duddy Dudes,3666794,Red,KOTH,koth_ashville_final
33,The Duddy Dudes,3666756,Red,KOTH,koth_ashville_final
34,The Duddy Dudes,3645350,Red,KOTH,koth_product_final
35,The Duddy Dudes,3645316,Red,KOTH,koth_cascade_rc1a
36,The Duddy Dudes,3645268,Blue,PL,pl_vigil_rc10
37,The Duddy Dudes,3645231,Blue,KOTH,koth_lakeside_r2
38,The Duddy Dudes,3661469,Blue,PL,pl_swiftwater_final1
39,The Duddy Dudes,3661440,Red,PL,pl_swiftwater_final1
40,The Duddy Dudes,3661394,Blue,PL,pl_swiftwater_final1
41,The Duddy Dudes,3661370,Red,PL,pl_swiftwater_final1
42,The Duddy Dudes,3658386,Blue,KOTH,koth_product_final
43,The Duddy Dudes,3670348,Red,PL,pl_upward_f11
44,The Duddy Dudes,3666222,Blue,KOTH,koth_ashville_final1
45,The Duddy Dudes,3666178,Blue,KOTH,koth_ashville_final1
46,The Duddy Dudes,3666147,Blue,KOTH,koth_ashville_final1
47,The Duddy Dudes,3666114,Blue,KOTH,koth_ashville_final1
48,The Duddy Dudes,3674438,Red,KOTH,koth_lakeside_r2
49,The Duddy Dudes,3674405,Red,KOTH,koth_lakeside_r2
50,The Duddy Dudes,3673779,Blue,KOTH,koth_lakeside_r2
51,The Duddy Dudes,3673755,Blue,KOTH,koth_lakeside_r2
52,The Duddy Dudes,3673734,Blue,KOTH,koth_lakeside_r2
53,The Duddy Dudes,3673718,Blue,KOTH,koth_lakeside_r2
54,The Duddy Dudes,3669842,Blue,PL,pl_upward_f11
55,The Duddy Dudes,3669812,Red,PL,pl_upward_f11
56,The Duddy Dudes,3665455,Blue,KOTH,koth_ashville_final1
57,The Duddy Dudes,3674372,Blue,KOTH,koth_lakeside_r2
58,The Duddy Dudes,3674335,Blue,KOTH,koth_lakeside_r2
59,The Duddy Dudes,3654259,Blue,PL,pl_vigil_rc10
60,The Duddy Dudes,3654233,Blue,PL,pl_vigil_rc10
61,The Duddy Dudes,3654172,Red,PL,pl_vigil_rc10
62,The Duddy Dudes,3654130,Blue,PL,pl_vigil_rc10
63,The Duddy Dudes,3653559,Blue,PL,pl_vigil_rc10
64,The Duddy Dudes,3653518,Red,PL,pl_vigil_rc10
65,The Duddy Dudes,3653484,Blue,PL,pl_vigil_rc10
66,The Duddy Dudes,3652823,Blue,PL,pl_vigil_rc10
67,The Duddy Dudes,3652800,Blue,PL,pl_vigil_rc10
68,The Duddy Dudes,3652768,Red,PL,pl_vigil_rc10
69,The Duddy Dudes,3652744,Blue,PL,pl_vigil_rc10
70,The Duddy Dudes,3652713,Red,PL,pl_vigil_rc10
71,The Duddy Dudes,3652703,Blue,PL,pl_vigil_rc10
72,The Duddy Dudes,3652690,Red,PL,pl_vigil_rc10
73,The Duddy Dudes,3644697,Blue,PL,pl_swiftwater_final1
74,The Duddy Dudes,3644666,Red,KOTH,koth_product_final
75,The Hardworking Hornets,3671142,Blue,PL,pl_upward_f12
76,The Hardworking Hornets,3671072,Red,PL,pl_upward_f12
77,The Hardworking Hornets,3671000,Red,PL,pl_upward_f12
78,The Hardworking Hornets,3670972,Blue,PL,pl_upward_f12
79,The Hardworking Hornets,3666919,Red,KOTH,koth_ashville_final1
80,The Hardworking Hornets,3666848,Red,KOTH,koth_ashville_final1
81,The Hardworking Hornets,3666796,Red,KOTH,koth_ashville_final1
82,The Hardworking Hornets,3666746,Red,KOTH,koth_ashville_final1
83,The Hardworking Hornets,3662748,Red,PL,pl_swiftwater_final1
84,The Hardworking Hornets,3662705,Blue,PL,pl_swiftwater_final1
85,The Hardworking Hornets,3662640,Red,PL,pl_swiftwater_final1
86,The Hardworking Hornets,3662590,Blue,PL,pl_swiftwater_final1
87,The Hardworking Hornets,3661469,Red,PL,pl_swiftwater_final1
88,The Hardworking Hornets,3661440,Blue,PL,pl_swiftwater_final1
89,The Hardworking Hornets,3661405,Blue,PL,pl_swiftwater_final1
90,The Hardworking Hornets,3661391,Red,PL,pl_swiftwater_final1
91,The Hardworking Hornets,3661366,Blue,PL,pl_swiftwater_final1
92,The Hardworking Hornets,3657921,Red,KOTH,koth_product_final
93,The Hardworking Hornets,3657886,Red,KOTH,koth_product_final
94,The Hardworking Hornets,3657858,Red,KOTH,koth_product_final
95,The Hardworking Hornets,3654262,Red,PL,pl_vigil_rc10
96,The Hardworking Hornets,3654235,Red,PL,pl_vigil_rc10
97,The Hardworking Hornets,3654208,Red,PL,pl_vigil_rc10
98,The Hardworking Hornets,3654150,Blue,PL,pl_vigil_rc10
99,The Hardworking Hornets,3654086,Red,PL,pl_vigil_rc10
100,The Hardworking Hornets,3654046,Blue,PL,pl_vigil_rc10
101,The Hardworking Hornets,3653547,Red,PL,pl_vigil_rc10
102,The Hardworking Hornets,3653545,Red,PL,pl_vigil_rc10
103,The Hardworking Hornets,3653513,Blue,PL,pl_vigil_rc10
104,The Hardworking Hornets,3653461,Blue,PL,pl_vigil_rc10
105,The Hardworking Hornets,3653449,Blue,PL,pl_vigil_rc10
106,The Hardworking Hornets,3653400,Red,PL,pl_vigil_rc10
107,The Hardworking Hornets,3674498,Red,KOTH,koth_lakeside_r2
108,The Hardworking Hornets,3674442,Red,KOTH,koth_lakeside_r2
109,The Hardworking Hornets,3674408,Red,KOTH,koth_lakeside_r2
110,The Hardworking Hornets,3674358,Red,KOTH,koth_lakeside_r2
111,The Hardworking Hornets,3674330,Red,KOTH,koth_lakeside_r2
112,The Hardworking Hornets,3671041,Blue,PL,pl_upward_f12
113,The Hardworking Hornets,3670473,Red,PL,pl_upward_f12
114,The Hardworking Hornets,3670451,Red,PL,pl_upward_f12
115,The Hardworking Hornets,3670427,Blue,PL,pl_upward_f12
116,The Hardworking Hornets,3670400,Blue,PL,pl_upward_f12
117,The Hardworking Hornets,3670398,Blue,PL,pl_upward_f12
118,The Hardworking Hornets,3670353,Blue,PL,pl_upward_f12
119,The Hardworking Hornets,3666215,Blue,KOTH,koth_ashville_final1
120,The Hardworking Hornets,3666188,Blue,KOTH,koth_ashville_final1
121,The Hardworking Hornets,3657214,Red,KOTH,koth_product_final
122,The Hardworking Hornets,3657178,Red,KOTH,koth_product_final
123,The Hardworking Hornets,3657171,Red,KOTH,koth_product_final
124,The Hardworking Hornets,3657147,Red,KOTH,koth_product_final
